id,title,artist,bpm,energy,idSpotify,genre,preview,cover,date
202,Amigo,Romeo Santos,135.038,75.3,4n82bvvKnaCSbM0pXWbR1S,bachata,https://p.scdn.co/mp3-preview/58bac1bf7446c22e47bb26725845ceeb7949b6ee?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b273e9da42890bbd629df1e8f640,2014-02-25
203,Lo siento,Beret,77.077,42.0,5o2M4yHxo9kyNLdgihFeV1,spanish hip hop,https://p.scdn.co/mp3-preview/74be267852e4e423d400158124de34b1cd2a53d7?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b273571c561f9f469b7579a6b3e6,2019-10-25
204,Beauty and a Beat (feat. Nicki Minaj),Justin Bieber,128.027,56.39999999999999,1ycIpa5fyJsEWzJno48gtb,pop,https://p.scdn.co/mp3-preview/597d13b3031f169a986a1697518b835bdc67b852?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b27363240e1b9b36f340dec3b41b,2012-11-26
205,Falling,Alesso,116.004,72.8,43mNwDn0zOH2HKl5B4aqcx,edm,null,https://i.scdn.co/image/ab67616d0000b27340488a989d847d57669d8efb,2017-02-03
206,Honey Boo,CNCO,170.037,64.2,0P0UtGDZpUMWoFCuDTn78K,reggaeton,https://p.scdn.co/mp3-preview/6e94cc182b4f76f443b86fa107c31e8688d8f4be?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b2738c684d7745b7b5b76f1706c6,2020-04-03
207,Tsunami (Radio Edit),DVBBS,128.084,92.2,04bQwUsZXNj8iFPg67orvF,edm,https://p.scdn.co/mp3-preview/a2e317ff148218db04f3d47a9192bd342e03d26e?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b273cd573d93a4790aee67838b35,2013-09-06
208,Historia de un Minuto,Interpuesto,143.373,84.3,6XcSjxIv8BmwqWO2EWC0UD,latin alternative,https://p.scdn.co/mp3-preview/f10fa3284c028926cb508c946551866ae6803eea?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b273178758f91ad117cb411b3c12,2016-01-01
209,Perros Salvajes,Daddy Yankee,88.018,80.4,4oROqjxNSBrVxrcSaW77Mc,reggaeton,null,https://i.scdn.co/image/ab67616d0000b27329866617908a958f41917d76,2012-01-01
210,Mi Media Mitad,Rey Ruiz,154.171,67.4,64QyipABOzDwoUFqaEnCvU,null,https://p.scdn.co/mp3-preview/bb7bc7ca44e99dfb10395561d071975226c1d2f6?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b273d8eb78c0aa8a1dff08bb5890,1992
211,Ya para Que,Nanpa Básico,83.89,35.6,6peU8VUsIPzFrM9zTl2KpK,colombian hip hop,https://p.scdn.co/mp3-preview/20fc3c3c80f8c90fad6fe025b8e4cc0c4bd3a05e?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b2731e5deb69b310e8013ed1c225,2016-10-21
212,Not Letting Go [XYconstant Remix] (feat. Jess Glynne),Tinie Tempah,125.017,83.2,2aoOHHnDzS653vhmsCzmIp,dance pop,https://p.scdn.co/mp3-preview/d4ab5cc56f6e2a680a72fe85129312cd4b581624?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b273f2d2db61f87db1f77fa48576,2015-06-19
213,El del Medio de los Chichos,Estopa,90.447,84.2,4UMCpYrmgZv9CsyLvrws4F,spanish pop,https://p.scdn.co/mp3-preview/08c720f252b9951100ea5282dc41d35146030558?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b2731a311570340a4f6530da158b,1999-10-18
214,Dispuestos a morir (feat. Bardero$),C.R.O.,150.075,53.0,1d1N1JZfKYI0Pj5TXzs4vy,trap argentino,https://p.scdn.co/mp3-preview/090defeb3755249d3e0620fe9ea4079e73c89b23?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b273726980ce535bca239b5b8d50,2019-09-06
215,Baile,David Otero,126.005,82.89999999999999,7CHDGn1uxA9aHx0CqpWB7o,spanish pop,https://p.scdn.co/mp3-preview/a82a07411b01773717cdada1725cab3b9d6c6e05?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b2735ebb177d513fd901b7f103aa,2018-05-18
216,Párteme La Cara,C. Tangana,127.938,29.599999999999998,5gEUDNQvoQjdjklrwPdGwD,urbano espanol,https://p.scdn.co/mp3-preview/a1d378aac34933208b0f07dde6df2271b84f681a?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b273a408c78e231f716383a58eb3,2021-02-26
217,Rolex,Ayo & Teo,144.946,88.6,0pSBuHjILhNEo55xK1zrRt,trap,https://p.scdn.co/mp3-preview/bd059d92a5feebff918e7de21209b9aedc2a73f1?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b27379dbd95fbdf6b0d617bd32dd,2017-03-15
218,Sabor de amor (Versión 1988),Danza Invisible,133.781,61.8,6zdXA5yUvKnoTJwyZCnYOM,spanish new wave,https://p.scdn.co/mp3-preview/f18b8d24612f8405391530cd941e4c6c416b3bcc?cid=dc103043f05746ba809bc490afdc3fe6,https://i.scdn.co/image/ab67616d0000b27367b50debe46a5c3504b29116,1988-01-01
219,Como El Agua,Camarón De La Isla,161.653,73.6,5UOzQpO62ljPFDqquxGDqT,cante flamenco,null,https://i.scdn.co/image/ab67616d0000b273bebaf9a49085366ba0c0c672,2005-01-01
220,Safe And Sound,Capital Cities,117.956,81.89999999999999,6Z8R6UsFuGXGtiIxiD8ISb,metropopolis,null,https://i.scdn.co/image/ab67616d0000b27313c6cb6a81c8db4dbc8b9924,2013
